name,lightyears,planet mass,stellar magnitude,discovery year,hyperlink,planet type,discovery data,mass,planet radius,orbital radius,orbital period,eccentricity,detection method
2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7066/2mass-j214029311625183-a-b/,Gas Giant,20.95 Jupiters,Unknown,0.26,Gas Giant,20.95 Jupiters,Unknown,0.26,Gas Giant,20.95 Jupiters,Unknown,0.26,Gas Giant,20.95 Jupiters,Unknown,0.26
2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7239/2mass-j223624524751425-b/,Gas Giant,12.5 Jupiters,230.0 AU,0.0,Gas Giant,12.5 Jupiters,230.0 AU,0.0,Gas Giant,12.5 Jupiters,230.0 AU,0.0,Gas Giant,12.5 Jupiters,230.0 AU,0.0
55 Cancri d,41,3.878 Jupiters,5.95084,2002,https://exoplanets.nasa.gov/exoplanet-catalog/7004/55-cancri-d/,Gas Giant,3.878 Jupiters,5.957 AU,0.13,Gas Giant,3.878 Jupiters,5.957 AU,0.13,Gas Giant,3.878 Jupiters,5.957 AU,0.13,Gas Giant,3.878 Jupiters,5.957 AU,0.13
55 Cancri e,41,7.99 Earths,5.95084,2004,https://exoplanets.nasa.gov/exoplanet-catalog/7005/55-cancri-e/,Super Earth,7.99 Earths,0.01544 AU,0.05,Super Earth,7.99 Earths,0.01544 AU,0.05,Super Earth,7.99 Earths,0.01544 AU,0.05,Super Earth,7.99 Earths,0.01544 AU,0.05
55 Cancri f,41,0.141 Jupiters,5.95084,2007,https://exoplanets.nasa.gov/exoplanet-catalog/7006/55-cancri-f/,Gas Giant,0.141 Jupiters,0.7708 AU,0.08,Gas Giant,0.141 Jupiters,0.7708 AU,0.08,Gas Giant,0.141 Jupiters,0.7708 AU,0.08,Gas Giant,0.141 Jupiters,0.7708 AU,0.08
61 Virginis b,28,5.1 Earths,4.6955,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7007/61-virginis-b/,Neptune-like,5.1 Earths,0.050201 AU,0.12,Neptune-like,5.1 Earths,0.050201 AU,0.12,Neptune-like,5.1 Earths,0.050201 AU,0.12,Neptune-like,5.1 Earths,0.050201 AU,0.12
61 Virginis c,28,18.2 Earths,4.6955,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7008/61-virginis-c/,Neptune-like,18.2 Earths,0.2175 AU,0.14,Neptune-like,18.2 Earths,0.2175 AU,0.14,Neptune-like,18.2 Earths,0.2175 AU,0.14,Neptune-like,18.2 Earths,0.2175 AU,0.14
61 Virginis d,28,22.9 Earths,4.6955,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7009/61-virginis-d/,Neptune-like,22.9 Earths,0.476 AU,0.35,Neptune-like,22.9 Earths,0.476 AU,0.35,Neptune-like,22.9 Earths,0.476 AU,0.35,Neptune-like,22.9 Earths,0.476 AU,0.35
6 Lyncis b,178,2.01 Jupiters,5.87307,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6986/6-lyncis-b/,Gas Giant,2.01 Jupiters,2.11 AU,0.07,Gas Giant,2.01 Jupiters,2.11 AU,0.07,Gas Giant,2.01 Jupiters,2.11 AU,0.07,Gas Giant,2.01 Jupiters,2.11 AU,0.07
70 Virginis b,58,7.49 Jupiters,4.96808,1996,https://exoplanets.nasa.gov/exoplanet-catalog/7010/70-virginis-b/,Gas Giant,7.49 Jupiters,0.481 AU,0.4,Gas Giant,7.49 Jupiters,0.481 AU,0.4,Gas Giant,7.49 Jupiters,0.481 AU,0.4,Gas Giant,7.49 Jupiters,0.481 AU,0.4
75 Ceti b,271,3 Jupiters,5.3532,2012,https://exoplanets.nasa.gov/exoplanet-catalog/7011/75-ceti-b/,Gas Giant,3 Jupiters,2.1 AU,0.12,Gas Giant,3 Jupiters,2.1 AU,0.12,Gas Giant,3 Jupiters,2.1 AU,0.12,Gas Giant,3 Jupiters,2.1 AU,0.12
7 Canis Majoris b,65,1.85 Jupiters,3.95,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6987/7-canis-majoris-b/,Gas Giant,1.85 Jupiters,1.758 AU,0.06,Gas Giant,1.85 Jupiters,1.758 AU,0.06,Gas Giant,1.85 Jupiters,1.758 AU,0.06,Gas Giant,1.85 Jupiters,1.758 AU,0.06
